issue_number	title	closure_mode	review_units	commit_shas	inspect_command	inspect_full_command	recommended_command	why_no_command	review_kind	shared_unit	apply_once	covered_issue_numbers	changed_files	overlap_units	packet_path
4289	support None for index name	integrated_current_pr_objective	PR-13455		git show --stat 4e812c2d8440a3946afb90c3c400ff42a7c499c1 fc0941b6887dd549290051450d337565b6744206 9485451520bd75520b82b14d56bac9b33a0dd909 2125396d2fbf150e18b0f05643279f9453ade8e4 95185cb882258bc3c623bfdaa5b9559be1198dc8 045c820e47975ca8e27e0c405978ae1504d13333 82e8ccda1fc4f055845070d8e776e6d702d9a410	git show 4e812c2d8440a3946afb90c3c400ff42a7c499c1 fc0941b6887dd549290051450d337565b6744206 9485451520bd75520b82b14d56bac9b33a0dd909 2125396d2fbf150e18b0f05643279f9453ade8e4 95185cb882258bc3c623bfdaa5b9559be1198dc8 045c820e47975ca8e27e0c405978ae1504d13333 82e8ccda1fc4f055845070d8e776e6d702d9a410	git cherry-pick 4e812c2d8440a3946afb90c3c400ff42a7c499c1 fc0941b6887dd549290051450d337565b6744206 9485451520bd75520b82b14d56bac9b33a0dd909 2125396d2fbf150e18b0f05643279f9453ade8e4 95185cb882258bc3c623bfdaa5b9559be1198dc8 045c820e47975ca8e27e0c405978ae1504d13333 82e8ccda1fc4f055845070d8e776e6d702d9a410		pull-request-unit			4289	lib/sqlalchemy/dialects/postgresql/base.py,lib/sqlalchemy/sql/ddl.py,test.sh,test/dialect/postgresql/test_compiler.py,test/dialect/postgresql/test_unnamed_index_57ab14.py	COLLATION-SCHEMA,COMMIT-483d715186d7a0d176dc749bb358861f6b31d81d,PR-13303	review_packets/PR-13455.md
4567	SQLite on_conflict not working with ORM	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			4567			review_packets/ISSUE-4567.md
4706	synonym descriptors automatically blend existing properties - undocumented?	verified_local_option_closure	COMMIT-278cf421a6b18c01ef463e9b97b9cd245082e9de	278cf421a6b18c01ef463e9b97b9cd245082e9de	git show --stat 278cf421a6b18c01ef463e9b97b9cd245082e9de	git show 278cf421a6b18c01ef463e9b97b9cd245082e9de	git cherry-pick 278cf421a6b18c01ef463e9b97b9cd245082e9de		standalone-commit			4706	lib/sqlalchemy/orm/_orm_constructors.py		review_packets/ISSUE-4706.md
4784	Default MetaData kwarg naming_convention can create issues with certain databases	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			4784			review_packets/ISSUE-4784.md
4790	Improve error messages on create_table	verified_local_option_closure	COMMIT-70e6b730b53852e27ec5699f6309eba92e820c8c	70e6b730b53852e27ec5699f6309eba92e820c8c	git show --stat 70e6b730b53852e27ec5699f6309eba92e820c8c	git show 70e6b730b53852e27ec5699f6309eba92e820c8c	git cherry-pick 70e6b730b53852e27ec5699f6309eba92e820c8c		standalone-commit			4790	doc/build/changelog/unreleased_21/4790.rst,lib/sqlalchemy/sql/naming.py,test/sql/test_metadata.py	COMMIT-908451977266e19296ca8059bf42ce8d50a20f92	review_packets/ISSUE-4790.md
5005	alter ORM-level "returned rows" checks to only warn if driver returns -1 or None	verified_local_option_closure	COMMIT-cb16d59854e4fa8bcbbeeed6f4938996c1763481	cb16d59854e4fa8bcbbeeed6f4938996c1763481	git show --stat cb16d59854e4fa8bcbbeeed6f4938996c1763481	git show cb16d59854e4fa8bcbbeeed6f4938996c1763481	git cherry-pick cb16d59854e4fa8bcbbeeed6f4938996c1763481		standalone-commit			5005	doc/build/changelog/unreleased_21/5005.rst,lib/sqlalchemy/orm/dependency.py,lib/sqlalchemy/orm/persistence.py,test/orm/test_unitofworkv2.py	COMMIT-019dfdaddee18c126a416ae920debc966400e68b	review_packets/ISSUE-5005.md
5123	apply informative re-raise if a result processor function fails	verified_local_option_closure						the available commit series does not apply cleanly from the frozen upstream base, so no standalone apply command is asserted	no-exact-unit			5123			review_packets/ISSUE-5123.md
5139	Document how to add dialect keywords get_columns() column information	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			5139			review_packets/ISSUE-5139.md
5350	`NoReferencedColumnError` when using `referred_column_0[[_]N]_name` in FK naming convention	verified_local_option_closure	COMMIT-908451977266e19296ca8059bf42ce8d50a20f92	908451977266e19296ca8059bf42ce8d50a20f92	git show --stat 908451977266e19296ca8059bf42ce8d50a20f92	git show 908451977266e19296ca8059bf42ce8d50a20f92	git cherry-pick 908451977266e19296ca8059bf42ce8d50a20f92		standalone-commit			5350	test/sql/test_metadata.py	COMMIT-70e6b730b53852e27ec5699f6309eba92e820c8c	review_packets/ISSUE-5350.md
5564	add limit() / offset() to CTE, as CTE.union() produces a CTE and not a CompoundSelect	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			5564			review_packets/ISSUE-5564.md
5846	Support reverse bitwise operations	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			5846			review_packets/ISSUE-5846.md
6084	version_id_col should accept string attr name like polymorphic_on does, make sure all mapper args that point to a column can work like this	revalidated_acceptance_probe						the closure is a verified branch-state probe, not an isolated patch	validation-only			6084			review_packets/ISSUE-6084.md
6332	Documentation: use ORM declarative attributes in .values instead of kwargs in "ORM-enabled UPDATE statements"?	verified_local_option_closure	COMMIT-6f8bb8dc84b27dc8bd9e5048de3d1d5152ddb132	6f8bb8dc84b27dc8bd9e5048de3d1d5152ddb132	git show --stat 6f8bb8dc84b27dc8bd9e5048de3d1d5152ddb132	git show 6f8bb8dc84b27dc8bd9e5048de3d1d5152ddb132	git cherry-pick 6f8bb8dc84b27dc8bd9e5048de3d1d5152ddb132		standalone-commit			6332	doc/build/orm/queryguide/dml.rst,lib/sqlalchemy/sql/dml.py		review_packets/ISSUE-6332.md
6468	test_limit_render_multiple_times needs order by and seems to be the only union type test.	verified_upstream_resolved						the required behavior is already present in the frozen upstream base	no-pick-needed			6468			review_packets/ISSUE-6468.md
6505	Always include where cluases in delete statements -- at least in test cleanup	verified_local_option_closure	COMMIT-f9cd575cde82631b4c621d46956906f1430a6eb4	f9cd575cde82631b4c621d46956906f1430a6eb4	git show --stat f9cd575cde82631b4c621d46956906f1430a6eb4	git show f9cd575cde82631b4c621d46956906f1430a6eb4	git cherry-pick f9cd575cde82631b4c621d46956906f1430a6eb4		standalone-commit			6505	lib/sqlalchemy/testing/provision.py,test/base/test_provision.py		review_packets/ISSUE-6505.md
