review_unit	pr_number	title	source_tip	source_tip_reachable	current_source_commit_shas	current_source_objects_present	current_source_series_applies_from_base	selection_basis	integration_merge	equivalent_commit_shas	already_present_commit	source_commit_count	internal_merge_count	source_series_applies_from_base	method	recommended_command	exact_net_command	integrated_reproduction_command	inspect_command	inspect_full_command	command_note
PR-11437	11437	initial commit to update the SQLAlchemy examples	0e0257a4a2aa8dd973cb3793c24efa3953cefa6c		3d1f06f4ad2887577dd7720e73b31fb1de1ce1f3,fc9eb7f67712dd7c43b4aa410f58740d42b95a18,2ab2e7c2d5d5037f4e4c48b0ee19aa9b51a1663d,0e0257a4a2aa8dd973cb3793c24efa3953cefa6c	True		validated-local-option-for-current-objective		2c6e1852264c0ad698c786ab5607051208c91208		1		True	patch-equivalent-repair	git cherry-pick 2c6e1852264c0ad698c786ab5607051208c91208	git cherry-pick 2c6e1852264c0ad698c786ab5607051208c91208		git show --stat 2c6e1852264c0ad698c786ab5607051208c91208	git show 2c6e1852264c0ad698c786ab5607051208c91208	applies the locally validated patch-equivalent repair; the current upstream source series does not apply from the frozen base, so this packet selects the validated local equivalent
PR-12297	12297	refactor(MSExecutionContext): improve identity insert handling and va…	c18f06b4605d805a9fecde0b0bf9665655e149da		6c371c8edb403f6dde0ddb1617e8813b2daa6901,a0a8724cd52f829a5fd162abf61b88c0cbc1e828,ff42a9be44eaf57bbc0e0595c1e2fdb120cc43cb,97dbaa17859d022a9ea0c8545faae3b83f06a515,9821e9773577d726b20acb3432b892c5a0e8a1d8,77f1c1d353d47ebd1f44f7962993b2ef61ac3303,d25b6e47f76dc837a049b4de53871b939ef9578c,c18f06b4605d805a9fecde0b0bf9665655e149da	True		validated-local-option-for-current-objective		ee59fb86d67ed4ecee7abec8b6328ae5ecf172d4		1		True	patch-equivalent-repair	git cherry-pick ee59fb86d67ed4ecee7abec8b6328ae5ecf172d4	git cherry-pick ee59fb86d67ed4ecee7abec8b6328ae5ecf172d4		git show --stat ee59fb86d67ed4ecee7abec8b6328ae5ecf172d4	git show ee59fb86d67ed4ecee7abec8b6328ae5ecf172d4	applies the locally validated patch-equivalent repair; the current upstream source series does not apply from the frozen base, so this packet selects the validated local equivalent
PR-12731	12731	fix(typing): allow DeclarativeBase subclasses in with_for_update(of=...)	f7f7d56aad2152d9c93baa782567dde82ec1dc90		f7f7d56aad2152d9c93baa782567dde82ec1dc90	True		validated-local-option-for-current-objective			a057c474bf84ccd0508b89aa5428f45c9a644ee3	1			already-present-on-base				git show --stat a057c474bf84ccd0508b89aa5428f45c9a644ee3	git show a057c474bf84ccd0508b89aa5428f45c9a644ee3	the maintained superseding objective is already present in the frozen upstream base; the current upstream source series does not apply from the frozen base, so this packet selects the validated local equivalent
PR-13051	13051	Added implementations for avg & abs	7d2ed3ea0e15a8dd081f053a1725399c605802b6		7d2ed3ea0e15a8dd081f053a1725399c605802b6	True		validated-local-option-for-current-objective		aa4a415f689599ba872d3c026f94d4f3fb42cbde		1		True	patch-equivalent-repair	git cherry-pick aa4a415f689599ba872d3c026f94d4f3fb42cbde	git cherry-pick aa4a415f689599ba872d3c026f94d4f3fb42cbde		git show --stat aa4a415f689599ba872d3c026f94d4f3fb42cbde	git show aa4a415f689599ba872d3c026f94d4f3fb42cbde	applies the locally validated patch-equivalent repair; the current upstream source series does not apply from the frozen base, so this packet selects the validated local equivalent
PR-13288	13288	fix(pool): use time.monotonic() instead of time.time() for connection timestamps	6aac317f3dcf166cc042ed5a085d826b9238da8b		6aac317f3dcf166cc042ed5a085d826b9238da8b	True	True	current-upstream-source-series	59aac193f48e67dc2d4070033f50d34503b644e4			1		True	cherry-pick	git cherry-pick 6aac317f3dcf166cc042ed5a085d826b9238da8b	git cherry-pick -m 1 59aac193f48e67dc2d4070033f50d34503b644e4	git cherry-pick -m 1 59aac193f48e67dc2d4070033f50d34503b644e4	git show --stat 6aac317f3dcf166cc042ed5a085d826b9238da8b	git show 6aac317f3dcf166cc042ed5a085d826b9238da8b	preserves the current upstream source commits and original authors in dependency order
PR-13289	13289	fix: raise clear error when default_factory/default passed to WriteOnlyMapped/DynamicMapped relationship	d645e101e771785d8c93981e2d21148cc559de1e		13257b9d85d0748e2a2c6ab44f0717c69cf2d15b,1ff47f96d70078a9e2d2f658e14015e44747542a,d645e101e771785d8c93981e2d21148cc559de1e	True	True	current-upstream-source-series	0387cfdaf20b039d5a9bfc522b470d5d60533c53			3		True	cherry-pick-series	git cherry-pick 13257b9d85d0748e2a2c6ab44f0717c69cf2d15b 1ff47f96d70078a9e2d2f658e14015e44747542a d645e101e771785d8c93981e2d21148cc559de1e	git cherry-pick -m 1 0387cfdaf20b039d5a9bfc522b470d5d60533c53	git cherry-pick -m 1 0387cfdaf20b039d5a9bfc522b470d5d60533c53	git show --stat 13257b9d85d0748e2a2c6ab44f0717c69cf2d15b 1ff47f96d70078a9e2d2f658e14015e44747542a d645e101e771785d8c93981e2d21148cc559de1e	git show 13257b9d85d0748e2a2c6ab44f0717c69cf2d15b 1ff47f96d70078a9e2d2f658e14015e44747542a d645e101e771785d8c93981e2d21148cc559de1e	preserves the current upstream source commits and original authors in dependency order
PR-13303	13303	Fix PostgreSQL CHECK constraint reflection stripping unrelated parens	79bb5f3855ab434d9110864bc467bda66de08a2c		8681259072f6727a8c185e2ad0d78924a7ebccbd,7a2c4655c32be43f790187e8289dde06b2de066e,7a4bd805f4033f66602f19db9ea7b7d951639311,caf35a749a29330334adffa8358a46b06e4ed96f,79bb5f3855ab434d9110864bc467bda66de08a2c	True	True	current-upstream-source-series	4de57c3a7d0b71ae2023d0b39c88432aa59f1fa0			5		True	cherry-pick-series	git cherry-pick 8681259072f6727a8c185e2ad0d78924a7ebccbd 7a2c4655c32be43f790187e8289dde06b2de066e 7a4bd805f4033f66602f19db9ea7b7d951639311 caf35a749a29330334adffa8358a46b06e4ed96f 79bb5f3855ab434d9110864bc467bda66de08a2c	git cherry-pick -m 1 4de57c3a7d0b71ae2023d0b39c88432aa59f1fa0	git cherry-pick -m 1 4de57c3a7d0b71ae2023d0b39c88432aa59f1fa0	git show --stat 8681259072f6727a8c185e2ad0d78924a7ebccbd 7a2c4655c32be43f790187e8289dde06b2de066e 7a4bd805f4033f66602f19db9ea7b7d951639311 caf35a749a29330334adffa8358a46b06e4ed96f 79bb5f3855ab434d9110864bc467bda66de08a2c	git show 8681259072f6727a8c185e2ad0d78924a7ebccbd 7a2c4655c32be43f790187e8289dde06b2de066e 7a4bd805f4033f66602f19db9ea7b7d951639311 caf35a749a29330334adffa8358a46b06e4ed96f 79bb5f3855ab434d9110864bc467bda66de08a2c	preserves the current upstream source commits and original authors in dependency order
PR-13312	13312	test: add coverage for delete with nested alias exists	208d46df0fdc05d75f83433ad7e8782e2bfc3ddb		208d46df0fdc05d75f83433ad7e8782e2bfc3ddb	True	True	current-upstream-source-series	cddef014673457c15f6a25521d248898ff283451			1		True	cherry-pick	git cherry-pick 208d46df0fdc05d75f83433ad7e8782e2bfc3ddb	git cherry-pick -m 1 cddef014673457c15f6a25521d248898ff283451	git cherry-pick -m 1 cddef014673457c15f6a25521d248898ff283451	git show --stat 208d46df0fdc05d75f83433ad7e8782e2bfc3ddb	git show 208d46df0fdc05d75f83433ad7e8782e2bfc3ddb	preserves the current upstream source commits and original authors in dependency order
PR-13323	13323	Apply tuple bind expressions to expanding IN values	32ebdc7a508ea6c32d5152b32bf96451614ccf5d		32ebdc7a508ea6c32d5152b32bf96451614ccf5d	True	True	current-upstream-source-series	b8e9fe327308d05ae5188ced332161ea9a2b6b22			1		True	cherry-pick	git cherry-pick 32ebdc7a508ea6c32d5152b32bf96451614ccf5d	git cherry-pick -m 1 b8e9fe327308d05ae5188ced332161ea9a2b6b22	git cherry-pick -m 1 b8e9fe327308d05ae5188ced332161ea9a2b6b22	git show --stat 32ebdc7a508ea6c32d5152b32bf96451614ccf5d	git show 32ebdc7a508ea6c32d5152b32bf96451614ccf5d	preserves the current upstream source commits and original authors in dependency order
PR-13368	13368	Document deprecated MySQL (M,D) float syntax and improve error message	d78abd7a9a169312b344be822152567e429220df		d78abd7a9a169312b344be822152567e429220df	True	True	current-upstream-source-series	42d81d2ea3af9510c0182ae4fd6977abe5ef776d			1		True	cherry-pick	git cherry-pick d78abd7a9a169312b344be822152567e429220df	git cherry-pick -m 1 42d81d2ea3af9510c0182ae4fd6977abe5ef776d	git cherry-pick -m 1 42d81d2ea3af9510c0182ae4fd6977abe5ef776d	git show --stat d78abd7a9a169312b344be822152567e429220df	git show d78abd7a9a169312b344be822152567e429220df	preserves the current upstream source commits and original authors in dependency order
